ISO,Rank2013,FR_Country,EN_country,ES_country,Score 2013,Zone
PER,105,Pérou,Peru,Peru,"31,87",Amériques
KGZ,106,Kirghizstan,Kyrgyzstan,Kirguistán,"32,2",EEAC
FJI,107,Fidji,Fiji,Fiyi,"32,69",Asie-Pacifique
BRA,108,Brésil,Brazil,Brasil,"32,75",Amériques
BOL,109,Bolivie,Bolivia,Bolivia,"32,8",Amériques
QAT,110,Qatar,Qatar,Catar,"32,86",MENA
PAN,111,Panama,Panama,Panamá,"32,95",Amériques
ISR,112,Israël,Israel,Israel,"32,97",MENA
MNE,113,Monténégro,Montenegro,Montenegro,"32,97",UE Balkans
ARE,114,Émirats arabes unis,United Arab Emirates,Emiratos Árabes Unidos,"33,49",MENA
NGA,115,Nigeria,Nigeria,Nigeria,"34,11",Afrique
MKD,116,Macédoine,Macedonia,República de Macedonia,"34,27",UE Balkans
VEN,117,Venezuela,Venezuela,Venezuela,"34,44",Amériques
NPL,118,Népal,Nepal,Nepal,"34,61",Asie-Pacifique
ECU,119,Équateur,Ecuador,Ecuador,"34,69",Amériques
CMR,120,Cameroun,Cameroon,Camerún,"34,78",Afrique
TCD,121,Tchad,Chad,Chad,"34,87",Afrique
BRN,122,Brunei,Brunei Darussalam,Brunéi,"35,45",Asie-Pacifique
TJK,123,Tadjikistan,Tajikistan,Tayikistán,"35,71",EEAC
SSD,124,Soudan du Sud,South Sudan,Sudán del Sur,"36,2",Afrique
DZA,125,Algérie,Algeria,Argelia,"36,54",MENA
UKR,126,Ukraine,Ukraine,Ucrania,"36,79",EEAC
HND,127,Honduras,Honduras,Honduras,"36,92",Amériques
AFG,128,Afghanistan,Afghanistan,Afganistán,"37,36",Asie-Pacifique
COL,129,Colombie,Colombia,Colombia,"37,48",Amériques
AGO,130,Angola,Angola,Angola,"37,8",Afrique
LBY,131,Libye,Libya,Libia,"37,86",MENA
BDI,132,Burundi,Burundi,Burundi,"38,02",Afrique
ZWE,133,Zimbabwe,Zimbabwe,Zimbabue,"38,12",Afrique
JOR,134,Jordanie,Jordan,Jordania,"38,47",MENA
THA,135,Thaïlande,Thailand,Tailandia,"38,6",Asie-Pacifique
MAR,136,Maroc,Morocco,Marruecos,"39,04",MENA
ETH,137,Éthiopie,Ethiopia,Etiopía,"39,57",Afrique
TUN,138,Tunisie,Tunisia,Túnez,"39,93",MENA
IDN,139,Indonésie,Indonesia,Indonesia,"41,05",Asie-Pacifique
IND,140,Inde,India,India,"41,22",Asie-Pacifique
OMN,141,Oman,Oman,Omán,"41,51",MENA
COD,142,RD Congo,The Democratic Republic Of The Congo,RD Congo,"41,66",Afrique
KHM,143,Cambodge,Cambodia,Camboya,"41,81",Asie-Pacifique
BGD,144,Bangladesh,Bangladesh,Bangladés,"42,01",Asie-Pacifique
MYS,145,Malaisie,Malaysia,Malasia,"42,73",Asie-Pacifique
PSE,146,Palestine,Palestine,Palestina,"43,09",MENA
PHL,147,Philippines,Philippines,Filipinas,"43,11",Asie-Pacifique
RUS,148,Russie,Russian Federation,Rusia,"43,42",EEAC
SGP,149,Singapour,Singapore,Singapur,"43,43",Asie-Pacifique
IRQ,150,Irak,Iraq,Irak,"44,67",MENA
MMR,151,Birmanie,Myanmar,Birmania,"44,71",Asie-Pacifique
GMB,152,Gambie,Gambia,Gambia,"45,09",Afrique
MEX,153,Mexique,Mexico,México,"45,3",Amériques
TUR,154,Turquie,Turkey,Turquía,"46,56",EEAC
SWZ,155,Swaziland,Swaziland,Suazilandia,"46,76",Afrique
AZE,156,Azerbaïdjan,Azerbaijan,Azerbaiyán,"47,73",EEAC
BLR,157,Bélarus,Belarus,Bielorrusia,"48,35",EEAC
EGY,158,Égypte,Egypt,Egipto,"48,66",MENA
PAK,159,Pakistan,Pakistan,Pakistán,"51,31",Asie-Pacifique
KAZ,160,Kazakhstan,Kazakhstan,Kazajistán,"55,08",EEAC
RWA,161,Rwanda,Rwanda,Ruanda,"55,46",Afrique
LKA,162,Sri Lanka,Sri Lanka,Sri Lanka,"56,59",Asie-Pacifique
SAU,163,Arabie saoudite,Saudi Arabia,Arabia Saudita,"56,88",MENA
UZB,164,Ouzbékistan,Uzbekistan,Uzbekistán,"60,39",EEAC
BHR,165,Bahreïn,Bahrain,Baréin,"62,75",MENA
GNQ,166,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"67,2",Afrique
DJI,167,Djibouti,Djibouti,Yibuti,"67,4",Afrique
LAO,168,Laos,Lao People's Democratic Republic,Laos,"67,99",Asie-Pacifique
YEM,169,Yémen,Yemen,Yemen,"69,22",MENA
SDN,170,Soudan,Sudan,Sudán,"70,06",Afrique
CUB,171,Cuba,Cuba,Cuba,"71,64",Amériques
VNM,172,Viêt Nam,Vietnam,Vietnam,"71,78",Asie-Pacifique
CHN,173,Chine,China,China,"73,07",Asie-Pacifique
IRN,174,Iran,Islamic Republic of Iran,Irán,"73,4",MENA
SOM,175,Somalie,Somalia,Somalia,"73,59",Afrique
SYR,176,Syrie,Syrian Arab Republic,Siria,"78,53",MENA
TKM,177,Turkménistan,Turkmenistan,Turkmenistán,"79,14",EEAC
PRK,178,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"83,9",Asie-Pacifique
ERI,179,Érythrée,Eritrea,Eritrea,"84,83",Afrique
BLZ,NA,Bélize,Belize,Belice,,Amériques
