ISO,Rank2020,FR_Country,EN_country,ES_country,AR_country,FA_country,Score 2020,Progression RANK,Rank 2019,Score 2019,Zone
GBR,35,Royaume-Uni,United Kingdom,Reino Unido,المملكة المتحدة,بریتانیا,"22,93",-2,33,"22,23",UE Balkans
TTO,36,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,ترينيداد وتوباغو,ترنتی و توبوگو,"23,22",3,39,"24,74",Amériques
AND,37,Andorre,Andorra,Andorra,أندورا,آندور,"23,23",0,37,"24,63",UE Balkans
BFA,38,Burkina Faso,Burkina Faso,Burkina Faso,بوركينا فاسو,بورکینافاسو,"23,47",-2,36,"24,53",Afrique
BWA,39,Botswana,Botswana,Botsuana,بوتسوانا,بوستاوانا,"23,56",5,44,"25,09",Afrique
CZE,40,République tchèque,Czech Republic,Repœblica Checa,جمهورية التشيك,جمهوری چک,"23,57",0,40,"24,89",UE Balkans
ITA,41,Italie,Italy,Italia,إيطاليا,ایتالیا,"23,69",2,43,"24,98",UE Balkans
KOR,42,Corée du Sud,South Korea,Corea del Sur,كوريا الجنوبية,کره جنوبی,"23,7",-1,41,"24,94",Asie-Pacifique
TWN,43,Taïwan,Taiwan,Taiwàn,تايوان,تایوان,"23,76",-1,42,"24,98",Asie-Pacifique
XCD,44,OECS,OECS,OECS,الكاريبي,جزایر کارائیب شرقی,"23,78",6,50,"26,04",Amériques
USA,45,Etats Unis,United States,Estados Unidos,الولايات المتحدة,ایالات متحده امریکا,"23,85",3,48,"25,69",Amériques
PNG,46,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,بابوا غينيا الجديدة,پاپوآ گینه نو,"23,93",-8,38,"24,7",Asie-Pacifique
SEN,47,Sénégal,Senegal,Senegal,السنغال,سنگال,"23,99",2,49,"25,81",Afrique
ROU,48,Roumanie,Romania,Rumania,رومانيا,رومانی,"25,91",-1,47,"25,67",UE Balkans
GUY,49,Guyana,Guyana,Guyana,غويانا,گیانا,"26,63",2,51,"26,63",Amériques
TON,50,Tonga,Tonga,Tonga,تونغا,تونگا,"27,27",-5,45,"25,41",Asie-Pacifique
CHL,51,Chili,Chile,Chile,تشيلي,شیلی,"27,31",-5,46,"25,65",Amériques
FJI,52,Fidji,Fiji,Fiyi,فيجي,فیجی,"27,41",0,52,"27,18",Asie-Pacifique
BLZ,53,Bélize,Belize,Belice,بليز,بلیز,"27,5",0,53,"27,5",Amériques
MDG,54,Madagascar,Madagascar,Madagascar,مدغشقر,ماداگاسکار,"27,68",0,54,"27,76",Afrique
DOM,55,République dominicaine,Dominican Republic,Repœblica Dominicana,جمهورية الدومينيكان,جمهوری دومینیک,"27,9",0,55,"27,9",Amériques
MUS,56,Maurice,Mauritius,Mauricio,موريشيوس,موریس,28,2,58,"28,46",Afrique
NER,57,Niger,Niger,Niger,النيجر,نیجر,"28,25",9,66,"29,26",Afrique
BIH,58,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,البوسنة والهرسك,بوسنی هرزوگوین,"28,51",5,63,"29,02",UE Balkans
HRV,59,Croatie,Croatia,Croacia,كرواتيا,کرواسی,"28,51",5,64,"29,03",UE Balkans
GEO,60,Géorgie,Georgia,Georgia,جورجيا,گرجستان,"28,59",0,60,"28,98",EEAC
ARM,61,Arménie,Armenia,Armenia,أرمينيا,ارمنستان,"28,6",0,61,"28,98",EEAC
POL,62,Pologne,Poland,Polonia,بولندا,لهستان,"28,65",-3,59,"28,89",UE Balkans
SYC,63,Seychelles,Seychelles,Seychelles,سيشيل,سی‌شل,"28,66",6,69,"29,41",Afrique
ARG,64,Argentine,Argentina,Argentina,الأرجنتين,آرژانتین,"28,78",-7,57,"28,3",Amériques
GRC,65,Grèce,Greece,Grecia,اليونان,یونان,"28,8",0,65,"29,08",UE Balkans
JPN,66,Japon,Japan,Japón,اليابان,ژاپن,"28,86",1,67,"29,36",Asie-Pacifique
BTN,67,Bhoutan,Bhutan,Butàn,بوتان,بوتان,"28,9",13,80,"29,81",Asie-Pacifique
CIV,68,Côte d'Ivoire,Ivory Coast,Costa de Marfil,ساحل العاج,ساحل عاج,"28,94",3,71,"29,52",Afrique
MWI,69,Malawi,Malawi,Malaui,مالاوي,مالاوی,"29,32",-1,68,"29,36",Afrique
XKO,70,Kosovo,Kosovo,Kosovo,كوسوفو,کوسووو,"29,33",5,75,"29,68",UE Balkans
TGO,71,Togo,Togo,Togo,توغو,توگو,"29,33",5,76,"29,69",Afrique
TUN,72,Tunisie,Tunisia,Tœnez,تونس,تونس,"29,45",0,72,"29,61",MENA
MNG,73,Mongolie,Mongolia,Mongolia,منغوليا,مغولستان,"29,61",-3,70,"29,51",Asie-Pacifique
SLV,74,El Salvador,El Salvador,El Salvador,السلفادور,ال‌سالوادور,"29,7",7,81,"29,81",Amériques
COM,75,Comores,Comoros,Comoras,جزر القمر,کومور,"29,77",-19,56,"27,91",Afrique
PAN,76,Panama,Panama,Panamà,بنما,پاناما,"29,78",3,79,"29,78",Amériques
CTU,77,Chypre (partie Nord),Cyprus North,Chipre Norte,قبرص (الجزء الشمالي),قبرس (شمالی),"29,79",-3,74,"29,67",UE Balkans
TLS,78,Timor-Leste,East Timor,Timor Oriental,تيمور الشرقية,تیمور شرقی,"29,9",6,84,"29,93",Asie-Pacifique
MDV,79,Maldives,Maldives,Maldivas,المالديف,مالدیو,"29,93",19,98,"32,16",Asie-Pacifique
HKG,80,Hong-Kong,Hong Kong,Hong Kong,هونغ كونغ,هنگ کنگ,"30,01",-7,73,"29,65",Asie-Pacifique
MLT,81,Malte,Malta,Malta,مالطا,مالت,"30,16",-4,77,"29,74",UE Balkans
KGZ,82,Kirghizstan,Kyrgyzstan,Kirguistàn,قرغيزستان,قرقیزستان,"30,19",1,83,"29,92",EEAC
HTI,83,Haïti,Haiti,Haití,هايتي,هايیتی,"30,2",-21,62,29,Amériques
ALB,84,Albanie,Albania,Albania,ألبانيا,آلبانی,"30,25",-2,82,"29,84",UE Balkans
SLE,85,Sierra Leone,Sierra Leone,Sierra Leona,سيراليون,سئیرالئون,"30,28",1,86,"30,36",Afrique
LSO,86,Lesotho,Lesotho,Lesoto,ليسوتو,لسو‌تو,"30,45",-8,78,"29,74",Afrique
GMB,87,Gambie,Gambia,Gambia,غامبيا,گامبیا,"30,62",5,92,"31,35",Afrique
ISR,88,Israël,Israel,Israel,إسرائيل,اسرائیل,"30,84",0,88,"30,8",MENA
HUN,89,Hongrie,Hungary,Hungría,المجر,مجارستان,"30,84",-2,87,"30,44",UE Balkans
PER,90,Perou,Peru,Peru,بيرو,پرو,"30,94",-5,85,"30,22",Amériques
MDA,91,Moldavie,Moldova,Moldavia,مولدوفا,مولداوی,"31,16",0,91,"31,21",EEAC
MKD,92,Macédoine,Macedonia,Repœblica de Macedonia,مقدونيا,مقدونیه,"31,28",3,95,"31,66",UE Balkans
SRB,93,Serbie,Serbia,Serbia,صربيا,صربستان,"31,62",-3,90,"31,18",UE Balkans
GNB,94,Guinée-Bissau,Guinea-Bissau,Guinea-Bisàu,غينيا بيساو,گینه بیسائو,"32,06",-5,89,"30,95",Afrique
LBR,95,Liberia,Liberia,Liberia,ليبيريا,لیبریا,"32,25",-2,93,"31,49",Afrique
UKR,96,Ukraine,Ukraine,Ucrania,أوكرانيا,اوکراين,"32,52",6,102,"32,46",EEAC
MRT,97,Mauritanie,Mauritania,Mauritania,موريتانيا,موریتانی,"32,54",-3,94,"31,65",Afrique
ECU,98,Equateur,Ecuador,Ecuador,الإكوادور,اکواتور,"32,62",-1,97,"31,88",Amériques
ETH,99,Éthiopie,Ethiopia,Etiopía,أثيوبيا,اتیوپی,"32,82",11,110,"35,11",Afrique
PRY,100,Paraguay,Paraguay,Paraguay,باراغواي,پاراگوئه,"32,97",-1,99,"32,4",Amériques
MYS,101,Malaisie,Malaysia,Malasia,ماليزيا,مالزی,"33,12",22,123,"36,74",Asie-Pacifique
LBN,102,Liban,Lebanon,Líbano,لبنان,لبنان,"33,19",-1,101,"32,44",MENA
KEN,103,Kenya,Kenya,Kenia,كينيا,کنیا,"33,72",-3,100,"32,44",Afrique
MOZ,104,Mozambique,Mozambique,Mozambique,موزمبيق,موزامبیک,"33,79",-1,103,"32,66",Afrique
MNE,105,Monténégro,Montenegro,Montenegro,الجبل الأسود,مونته‌نگرو,"33,83",-1,104,"32,74",UE Balkans
AGO,106,Angola,Angola,Angola,أنغولا,آنگولا,"33,92",3,109,"34,96",Afrique
BRA,107,Brésil,Brazil,Brasil,البرازيل,برزیل,"34,05",-2,105,"32,79",Amériques
MLI,108,Mali,Mali,Malí,مالي,مالی,"34,12",4,112,"35,23",Afrique
KWT,109,Koweït,Kuwait,Kuwait,الكويت,کویت,"34,3",-1,108,"33,86",MENA
GIN,110,Guinée,Guinea,Guinea,غينيا,گینه,"34,34",-3,107,"33,49",Afrique
BGR,111,Bulgarie,Bulgaria,Bulgaria,بلغاريا,بلغارستان,"35,06",0,111,"35,11",UE Balkans
NPL,112,Népal,Nepal,Nepal,نيبال,نپال,"35,1",-6,106,"33,4",Asie-Pacifique
BEN,113,Bénin,Benin,Benín,بنين,بنین,"35,11",-17,96,"31,74",Afrique
BOL,114,Bolivie,Bolivia,Bolivia,بوليفيا,بلیوی,"35,37",-1,113,"35,38",Amériques
NGA,115,Nigeria,Nigeria,Nigeria,نيجيريا,نیجریه,"35,63",5,120,"36,5",Afrique
GTM,116,Guatemala,Guatemala,Guatemala,غواتيمالا,گواتمالا,"35,74",0,116,"35,94",Amériques
NIC,117,Nicaragua,Nicaragua,Nicaragua,نيكاراغوا,نیکاراگوئه,"35,81",-3,114,"35,53",Amériques
COG,118,Congo,Congo,Repœblica del Congo,الكونغو,کنگو,"36,56",-1,117,"36,04",Afrique
IDN,119,Indonésie,Indonesia,Indonesia,أندونيسيا,اندونزی,"36,82",5,124,"36,77",Asie-Pacifique
ZMB,120,Zambie,Zambia,Zambia,زامبيا,زامبیا,37,-1,119,"36,38",Afrique
GAB,121,Gabon,Gabon,Repœblica Gabonesa,الغابون,گابون,"37,2",-6,115,"35,6",Afrique
AFG,122,Afghanistan,Afghanistan,Afganistàn,أفغانستان,افغانستان,"37,7",-1,121,"36,55",Asie-Pacifique
TCD,123,Tchad,Chad,Chad,تشاد,چاد,"39,7",-1,122,"36,71",Afrique
TZA,124,Tanzanie,Tanzania,Tanzania,تنزانيا,تانزانیا,"40,25",-6,118,"36,28",Afrique
UGA,125,Ouganda,Uganda,Uganda,أوغندا,اوگاندا,"40,95",0,125,"39,42",Afrique
ZWE,126,Zimbabwe,Zimbabwe,Zimbabue,زيمبابوي,زیمبابوه,"40,95",1,127,"42,23",Afrique
LKA,127,Sri Lanka,Sri Lanka,Sri Lanka,سري لانكا,سریلانکا,"41,94",-1,126,"39,61",Asie-Pacifique
JOR,128,Jordanie,Jordan,Jordania,الأردن,اردن,"42,08",2,130,"43,11",MENA
QAT,129,Qatar,Qatar,Catar,قطر,قطر,"42,51",-1,128,"42,51",MENA
COL,130,Colombie,Colombia,Colombia,كولومبيا,کلمبیا,"42,66",-1,129,"42,82",Amériques
ARE,131,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,الإمارات العربية المتحدة,امارات متحده عربی,"42,69",2,133,"43,63",MENA
CAF,132,République centrafricaine,Central African Republic,Repœblica Centroafricana,جمهورية أفريقيا الوسطى,جمهوری آفریقای مرکزی,"42,87",13,145,"47,27",Afrique
MAR,133,Maroc,Morocco,Marruecos,المغرب,مراکش,"42,88",2,135,"43,98",MENA
CMR,134,Cameroun,Cameroon,Camerœn,الكاميرون,کامرون,"43,28",-3,131,"43,32",Afrique
OMN,135,Oman,Oman,Omàn,عمان,عمان,"43,42",-3,132,"43,42",MENA
PHL,136,Philippines,Philippines,Filipinas,الفلبين,فلیپین,"43,54",-2,134,"43,91",Asie-Pacifique
PSE,137,Palestine,Palestine,Palestina,فلسطين,فلسطین,"44,09",0,137,"44,68",MENA
SSD,138,Soudan du Sud,South Sudan,Sudàn del Sur,جمهورية جنوب السودان,سودان جنوبی,"44,49",1,139,"45,65",Afrique
MMR,139,Birmanie,Myanmar,Birmania,بورما,برمه,"44,77",-1,138,"44,92",Asie-Pacifique
THA,140,Thaïlande,Thailand,Tailandia,تايلاند,تایلند,"44,94",-4,136,"44,1",Asie-Pacifique
SWZ,141,Swaziland,Swaziland,Suazilandia,سوازيلاند,سویزالند,"45,15",6,147,"49,09",Afrique
IND,142,Inde,India,India,الهند,هند,"45,33",-2,140,"45,67",Asie-Pacifique
MEX,143,Mexique,Mexico,México,المكسيك,مکزیک,"45,45",1,144,"46,78",Amériques
KHM,144,Cambodge,Cambodia,Camboya,كمبوديا,کامبوج,"45,46",-1,143,"45,9",Asie-Pacifique
PAK,145,Pakistan,Pakistan,Pakistàn,باكستان,پاکستان,"45,52",-3,142,"45,83",Asie-Pacifique
DZA,146,Algérie,Algeria,Argelia,الجزائر,الجزایر,"45,52",-5,141,"45,75",MENA
VEN,147,Venezuela,Venezuela,Venezuela,فنزويلا,ونزوئلا,"45,66",1,148,"49,1",Amériques
HND,148,Honduras,Honduras,Honduras,هندوراس,هندوراس,"48,2",-2,146,"48,53",Amériques
RUS,149,Russie,Russian Federation,Rusia,روسيا,روسیه,"48,92",0,149,"50,31",EEAC
COD,150,RD Congo,The Democratic Republic Of The Congo,RD Congo,جمهورية الكونغو الديمقراطية,جمهوری دمکراتیک کنگو,"49,09",4,154,"51,71",Afrique
BGD,151,Bangladesh,Bangladesh,Bangladés,بنغلاديش,بنگلادش,"49,37",-1,150,"50,74",Asie-Pacifique
BRN,152,Brunei,Brunei Darussalam,Brunéi,بروناي,برونی,"49,65",0,152,"51,48",Asie-Pacifique
BLR,153,Bélarus,Belarus,Bielorrusia,روسيا البيضاء,روسیه سفید,"49,75",0,153,"51,66",EEAC
TUR,154,Turquie,Turkey,Turquía,تركيا,ترکیه,"50,02",3,157,"52,81",EEAC
RWA,155,Rwanda,Rwanda,Ruanda,رواندا,روندا,"50,34",0,155,"52,43",Afrique
UZB,156,Ouzbékistan,Uzbekistan,Uzbekistàn,أوزبكستان,اوزبکستان,"53,07",4,160,"53,52",EEAC
KAZ,157,Kazakhstan,Kazakhstan,Kazajistàn,كازاخستان,قزاقستان,"54,11",1,158,"52,82",EEAC
SGP,158,Singapour,Singapore,Singapur,سنغافورة,سنگاپور,"55,23",-7,151,"51,41",Asie-Pacifique
SDN,159,Soudan,Sudan,Sudàn,السودان,سودان,"55,33",16,175,"72,45",Afrique
BDI,160,Burundi,Burundi,Burundi,بوروندي,بروندی,"55,33",-1,159,"52,89",Afrique
TJK,161,Tadjikistan,Tajikistan,Tayikistàn,طاجيكستان,تاجیکستان,"55,34",0,161,"54,02",EEAC
IRQ,162,Irak,Iraq,Irak,العراق,عراق,"55,37",-6,156,"52,6",MENA
SOM,163,Somalie,Somalia,Somalia,الصومال,سومالی,"55,45",1,164,"57,24",Afrique
LBY,164,Libye,Libya,Libia,ليبيا,لیبی,"55,77",-2,162,"55,77",MENA
GNQ,165,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,غينيا الاستوائية,گینه اکوادور,"56,38",0,165,"58,35",Afrique
EGY,166,Égypte,Egypt,Egipto,مصر,مصر,"56,82",-3,163,"56,47",MENA
YEM,167,Yémen,Yemen,Yemen,اليمن,یمن,"58,25",1,168,"61,66",MENA
AZE,168,Azerbaïdjan,Azerbaijan,Azerbaiyàn,أذربيجان,آذربایجان,"58,48",-2,166,"59,13",EEAC
BHR,169,Bahreïn,Bahrain,Baréin,البحرين,بحرین,"60,13",-2,167,"61,31",MENA
SAU,170,Arabie saoudite,Saudi Arabia,Arabia Saudita,المملكة العربية السعودية,عربستان سعودی,"62,14",2,172,"65,88",MENA
CUB,171,Cuba,Cuba,Cuba,كوبا,کوبا,"63,81",-2,169,"63,81",Amériques
LAO,172,Laos,Lao People's Democratic Republic,Laos,لاوس,لائوس,"64,28",-1,171,"64,49",Asie-Pacifique
IRN,173,Iran,Islamic Republic of Iran,Iràn,إيران,ایران,"64,81",-3,170,"64,41",MENA
SYR,174,Syrie,Syrian Arab Republic,Siria,سوريا,سوریه,"72,57",0,174,"71,78",MENA
VNM,175,Viêt Nam,Vietnam,Vietnam,فيتنام,ویتنام,"74,71",1,176,"74,93",Asie-Pacifique
DJI,176,Djibouti,Djibouti,Yibuti,جيبوتي,جیبوتی,"76,73",-3,173,"71,36",Afrique
CHN,177,Chine,China,China,الصين,چین,"78,48",0,177,"78,92",Asie-Pacifique
ERI,178,Érythrée,Eritrea,Eritrea,إريتريا,اریتره,"83,5",0,178,"80,26",Afrique
TKM,179,Turkménistan,Turkmenistan,Turkmenistàn,تركمانستان,ترکمنستان,"85,44",1,180,"85,44",EEAC
PRK,180,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,كوريا الشمالية,کره شمالی,"85,82",-1,179,"83,4",Asie-Pacifique
