ISO,Rank2019,FR_Country,EN_country,ES_country,AR_country,FA_country,Score 2019,Progression RANK,Rank 2018,Score 2018,Zone
SVK,35,Slovaquie,Slovakia,Eslovaquia,سلوفاكيا,اسلواکی,"23,58",-8,27,"20,26",UE Balkans
BFA,36,Burkina Faso,Burkina Faso,Burkina Faso,بوركينا فاسو,بورکینافاسو,"24,53",5,41,"23,33",Afrique
AND,37,Andorre,Andorra,Andorra,أندورا,آندور,"24,63",0,37,"22,21",UE Balkans
PNG,38,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,بابوا غينيا الجديدة,پاپوآ گینه نو,"24,7",15,53,"26,19",Asie-Pacifique
TTO,39,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,ترينيداد وتوباغو,ترنتی و توبوگو,"24,74",0,39,"22,79",Amériques
CZE,40,République tchèque,Czech Republic,Repœblica Checa,جمهورية التشيك,جمهوری چک,"24,89",-6,34,"21,89",UE Balkans
KOR,41,Corée du Sud,South Korea,Corea del Sur,كوريا الجنوبية,کره جنوبی,"24,94",2,43,"23,51",Asie-Pacifique
TWN,42,Taïwan,Taiwan,Taiwàn,تايوان,تایوان,"24,98",0,42,"23,36",Asie-Pacifique
ITA,43,Italie,Italy,Italia,إيطاليا,ایتالیا,"24,98",3,46,"24,12",UE Balkans
BWA,44,Botswana,Botswana,Botsuana,بوتسوانا,بوستاوانا,"25,09",4,48,"25,29",Afrique
TON,45,Tonga,Tonga,Tonga,تونغا,تونگا,"25,41",6,51,"25,68",Asie-Pacifique
CHL,46,Chili,Chile,Chile,تشيلي,شیلی,"25,65",-8,38,"22,69",Amériques
ROU,47,Roumanie,Romania,Rumania,رومانيا,رومانی,"25,67",-3,44,"23,65",UE Balkans
USA,48,Etats Unis,United States,Estados Unidos,الولايات المتحدة,ایالات متحده امریکا,"25,69",-3,45,"23,73",Amériques
SEN,49,Sénégal,Senegal,Senegal,السنغال,سنگال,"25,81",1,50,"25,61",Afrique
XCD,50,OECS,OECS,OECS,الكاريبي,جزایر کارائیب شرقی,"26,04",-15,35,"22,11",Amériques
GUY,51,Guyana,Guyana,Guyana,غويانا,گیانا,"26,63",4,55,"26,25",Amériques
FJI,52,Fidji,Fiji,Fiyi,فيجي,فیجی,"27,18",5,57,"26,55",Asie-Pacifique
BLZ,53,Bélize,Belize,Belice,بليز,بلیز,"27,5",-6,47,"24,55",Amériques
MDG,54,Madagascar,Madagascar,Madagascar,مدغشقر,ماداگاسکار,"27,76",0,54,"26,2",Afrique
DOM,55,République dominicaine,Dominican Republic,Repœblica Dominicana,جمهورية الدومينيكان,جمهوری دومینیک,"27,9",4,59,"26,79",Amériques
COM,56,Comores,Comoros,Comoras,جزر القمر,کومور,"27,91",-7,49,"25,3",Afrique
ARG,57,Argentine,Argentina,Argentina,الأرجنتين,آرژانتین,"28,3",-5,52,"26,05",Amériques
MUS,58,Maurice,Mauritius,Mauricio,موريشيوس,موریس,"28,46",-2,56,"26,45",Afrique
POL,59,Pologne,Poland,Polonia,بولندا,لهستان,"28,89",-1,58,"26,59",UE Balkans
GEO,60,Géorgie,Georgia,Georgia,جورجيا,گرجستان,"28,98",1,61,"27,34",EEAC
ARM,61,Arménie,Armenia,Armenia,أرمينيا,ارمنستان,"28,98",19,80,"29,99",EEAC
HTI,62,Haïti,Haiti,Haití,هايتي,هايیتی,29,-2,60,"26,82",Amériques
BIH,63,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,البوسنة والهرسك,بوسنی هرزوگوین,"29,02",-1,62,"27,37",UE Balkans
HRV,64,Croatie,Croatia,Croacia,كرواتيا,کرواسی,"29,03",5,69,"28,94",UE Balkans
GRC,65,Grèce,Greece,Grecia,اليونان,یونان,"29,08",9,74,"29,19",UE Balkans
NER,66,Niger,Niger,Niger,النيجر,نیجر,"29,26",-3,63,"27,4",Afrique
JPN,67,Japon,Japan,Japón,اليابان,ژاپن,"29,36",0,67,"28,64",Asie-Pacifique
MWI,68,Malawi,Malawi,Malaui,مالاوي,مالاوی,"29,36",-4,64,"27,43",Afrique
SYC,69,Seychelles,Seychelles,Seychelles,سيشيل,سی‌شل,"29,41",16,85,"30,17",Afrique
MNG,70,Mongolie,Mongolia,Mongolia,منغوليا,مغولستان,"29,51",1,71,"29,05",Asie-Pacifique
CIV,71,Côte d'Ivoire,Ivory Coast,Costa de Marfil,ساحل العاج,ساحل عاج,"29,52",11,82,"30,08",Afrique
TUN,72,Tunisie,Tunisia,Tœnez,تونس,تونس,"29,61",25,97,"30,91",MENA
HKG,73,Hong-Kong,Hong Kong,Hong Kong,هونغ كونغ,هنگ کنگ,"29,65",-3,70,"29,04",Asie-Pacifique
CTU,74,Chypre (partie Nord),Cyprus North,Chipre Norte,قبرص (الجزء الشمالي),قبرس (شمالی),"29,67",3,77,"29,59",UE Balkans
XKO,75,Kosovo,Kosovo,Kosovo,كوسوفو,کوسووو,"29,68",3,78,"29,61",UE Balkans
TGO,76,Togo,Togo,Togo,توغو,توگو,"29,69",10,86,"30,23",Afrique
MLT,77,Malte,Malta,Malta,مالطا,مالت,"29,74",-12,65,"27,44",UE Balkans
LSO,78,Lesotho,Lesotho,Lesoto,ليسوتو,لسو‌تو,"29,74",-10,68,"28,78",Afrique
PAN,79,Panama,Panama,Panamà,بنما,پاناما,"29,78",12,91,"30,56",Amériques
BTN,80,Bhoutan,Bhutan,Butàn,بوتان,بوتان,"29,81",14,94,"30,73",Asie-Pacifique
SLV,81,El Salvador,El Salvador,El Salvador,السلفادور,ال‌سالوادور,"29,81",-15,66,"27,78",Amériques
ALB,82,Albanie,Albania,Albania,ألبانيا,آلبانی,"29,84",-7,75,"29,49",UE Balkans
KGZ,83,Kirghizstan,Kyrgyzstan,Kirguistàn,قرغيزستان,قرقیزستان,"29,92",15,98,31,EEAC
TLS,84,Timor-Leste,East Timor,Timor Oriental,تيمور الشرقية,تیمور شرقی,"29,93",11,95,"30,81",Asie-Pacifique
PER,85,Perou,Peru,Peru,بيرو,پرو,"30,22",3,88,"30,27",Amériques
SLE,86,Sierra Leone,Sierra Leone,Sierra Leona,سيراليون,سئیرالئون,"30,36",-7,79,"29,98",Afrique
HUN,87,Hongrie,Hungary,Hungría,المجر,مجارستان,"30,44",-14,73,"29,11",UE Balkans
ISR,88,Israël,Israel,Israel,إسرائيل,اسرائیل,"30,8",-1,87,"30,26",MENA
GNB,89,Guinée-Bissau,Guinea-Bissau,Guinea-Bisàu,غينيا بيساو,گینه بیسائو,"30,95",-6,83,"30,09",Afrique
SRB,90,Serbie,Serbia,Serbia,صربيا,صربستان,"31,18",-14,76,"29,58",UE Balkans
MDA,91,Moldavie,Moldova,Moldavia,مولدوفا,مولداوی,"31,21",-10,81,"30,01",EEAC
GMB,92,Gambie,Gambia,Gambia,غامبيا,گامبیا,"31,35",30,122,"38,36",Afrique
LBR,93,Liberia,Liberia,Liberia,ليبيريا,لیبریا,"31,49",-4,89,"30,33",Afrique
MRT,94,Mauritanie,Mauritania,Mauritania,موريتانيا,موریتانی,"31,65",-22,72,"29,09",Afrique
MKD,95,Macédoine,Macedonia,Repœblica de Macedonia,مقدونيا,مقدونیه,"31,66",14,109,"32,43",UE Balkans
BEN,96,Bénin,Benin,Benín,بنين,بنین,"31,74",-12,84,"30,16",Afrique
ECU,97,Equateur,Ecuador,Ecuador,الإكوادور,اکواتور,"31,88",-5,92,"30,56",Amériques
MDV,98,Maldives,Maldives,Maldivas,المالديف,مالدیو,"32,16",22,120,"37,95",Asie-Pacifique
PRY,99,Paraguay,Paraguay,Paraguay,باراغواي,پاراگوئه,"32,4",8,107,"32,32",Amériques
KEN,100,Kenya,Kenya,Kenia,كينيا,کنیا,"32,44",-4,96,"30,82",Afrique
LBN,101,Liban,Lebanon,Líbano,لبنان,لبنان,"32,44",-1,100,"31,15",MENA
UKR,102,Ukraine,Ukraine,Ucrania,أوكرانيا,اوکراين,"32,46",-1,101,"31,16",EEAC
MOZ,103,Mozambique,Mozambique,Mozambique,موزمبيق,موزامبیک,"32,66",-4,99,"31,12",Afrique
MNE,104,Monténégro,Montenegro,Montenegro,الجبل الأسود,مونته‌نگرو,"32,74",-1,103,"31,21",UE Balkans
BRA,105,Brésil,Brazil,Brasil,البرازيل,برزیل,"32,79",-3,102,"31,2",Amériques
NPL,106,Népal,Nepal,Nepal,نيبال,نپال,"33,4",0,106,"32,05",Asie-Pacifique
GIN,107,Guinée,Guinea,Guinea,غينيا,گینه,"33,49",-3,104,"31,9",Afrique
KWT,108,Koweït,Kuwait,Kuwait,الكويت,کویت,"33,86",-3,105,"31,91",MENA
AGO,109,Angola,Angola,Angola,أنغولا,آنگولا,"34,96",12,121,"38,35",Afrique
ETH,110,Éthiopie,Ethiopia,Etiopía,أثيوبيا,اتیوپی,"35,11",40,150,"50,17",Afrique
BGR,111,Bulgarie,Bulgaria,Bulgaria,بلغاريا,بلغارستان,"35,11",0,111,"35,22",UE Balkans
MLI,112,Mali,Mali,Malí,مالي,مالی,"35,23",3,115,"36,15",Afrique
BOL,113,Bolivie,Bolivia,Bolivia,بوليفيا,بلیوی,"35,38",-3,110,"32,45",Amériques
NIC,114,Nicaragua,Nicaragua,Nicaragua,نيكاراغوا,نیکاراگوئه,"35,53",-24,90,"30,41",Amériques
GAB,115,Gabon,Gabon,Repœblica Gabonesa,الغابون,گابون,"35,6",-7,108,"32,37",Afrique
GTM,116,Guatemala,Guatemala,Guatemala,غواتيمالا,گواتمالا,"35,94",0,116,"36,17",Amériques
COG,117,Congo,Congo,Repœblica del Congo,الكونغو,کنگو,"36,04",-3,114,"35,42",Afrique
TZA,118,Tanzanie,Tanzania,Tanzania,تنزانيا,تانزانیا,"36,28",-25,93,"30,65",Afrique
ZMB,119,Zambie,Zambia,Zambia,زامبيا,زامبیا,"36,38",-6,113,"35,36",Afrique
NGA,120,Nigeria,Nigeria,Nigeria,نيجيريا,نیجریه,"36,5",-1,119,"37,41",Afrique
AFG,121,Afghanistan,Afghanistan,Afganistàn,أفغانستان,افغانستان,"36,55",-3,118,"37,28",Asie-Pacifique
TCD,122,Tchad,Chad,Chad,تشاد,چاد,"36,71",1,123,"38,45",Afrique
MYS,123,Malaisie,Malaysia,Malasia,ماليزيا,مالزی,"36,74",22,145,"47,41",Asie-Pacifique
IDN,124,Indonésie,Indonesia,Indonesia,أندونيسيا,اندونزی,"36,77",0,124,"39,68",Asie-Pacifique
UGA,125,Ouganda,Uganda,Uganda,أوغندا,اوگاندا,"39,42",-8,117,"36,77",Afrique
LKA,126,Sri Lanka,Sri Lanka,Sri Lanka,سري لانكا,سریلانکا,"39,61",5,131,"41,37",Asie-Pacifique
ZWE,127,Zimbabwe,Zimbabwe,Zimbabue,زيمبابوي,زیمبابوه,"42,23",-1,126,"40,53",Afrique
QAT,128,Qatar,Qatar,Catar,قطر,قطر,"42,51",-3,125,"40,16",MENA
COL,129,Colombie,Colombia,Colombia,كولومبيا,کلمبیا,"42,82",1,130,"41,03",Amériques
JOR,130,Jordanie,Jordan,Jordania,الأردن,اردن,"43,11",2,132,"41,71",MENA
CMR,131,Cameroun,Cameroon,Camerœn,الكاميرون,کامرون,"43,32",-2,129,"40,92",Afrique
OMN,132,Oman,Oman,Omàn,عمان,عمان,"43,42",-5,127,"40,67",MENA
ARE,133,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,الإمارات العربية المتحدة,امارات متحده عربی,"43,63",-5,128,"40,86",MENA
PHL,134,Philippines,Philippines,Filipinas,الفلبين,فلیپین,"43,91",-1,133,"42,53",Asie-Pacifique
MAR,135,Maroc,Morocco,Marruecos,المغرب,مراکش,"43,98",0,135,"43,13",MENA
THA,136,Thaïlande,Thailand,Tailandia,تايلاند,تایلند,"44,1",4,140,"44,31",Asie-Pacifique
PSE,137,Palestine,Palestine,Palestina,فلسطين,فلسطین,"44,68",-3,134,"42,96",MENA
MMR,138,Birmanie,Myanmar,Birmania,بورما,برمه,"44,92",-1,137,"43,15",Asie-Pacifique
SSD,139,Soudan du Sud,South Sudan,Sudàn del Sur,جمهورية جنوب السودان,سودان جنوبی,"45,65",5,144,"46,88",Afrique
IND,140,Inde,India,India,الهند,هند,"45,67",-2,138,"43,24",Asie-Pacifique
DZA,141,Algérie,Algeria,Argelia,الجزائر,الجزایر,"45,75",-5,136,"43,13",MENA
PAK,142,Pakistan,Pakistan,Pakistàn,باكستان,پاکستان,"45,83",-3,139,"43,24",Asie-Pacifique
KHM,143,Cambodge,Cambodia,Camboya,كمبوديا,کامبوج,"45,9",-1,142,"45,9",Asie-Pacifique
MEX,144,Mexique,Mexico,México,المكسيك,مکزیک,"46,78",3,147,"48,91",Amériques
CAF,145,République centrafricaine,Central African Republic,Repœblica Centroafricana,جمهورية أفريقيا الوسطى,جمهوری آفریقای مرکزی,"47,27",-33,112,"35,25",Afrique
HND,146,Honduras,Honduras,Honduras,هندوراس,هندوراس,"48,53",-5,141,"45,23",Amériques
SWZ,147,Swaziland,Swaziland,Suazilandia,سوازيلاند,سویزالند,"49,09",5,152,"51,46",Afrique
VEN,148,Venezuela,Venezuela,Venezuela,فنزويلا,ونزوئلا,"49,1",-5,143,"46,03",Amériques
RUS,149,Russie,Russian Federation,Rusia,روسيا,روسیه,"50,31",-1,148,"49,96",EEAC
BGD,150,Bangladesh,Bangladesh,Bangladés,بنغلاديش,بنگلادش,"50,74",-4,146,"48,62",Asie-Pacifique
SGP,151,Singapour,Singapore,Singapur,سنغافورة,سنگاپور,"51,41",0,151,"50,95",Asie-Pacifique
BRN,152,Brunei,Brunei Darussalam,Brunéi,بروناي,برونی,"51,48",1,153,"51,48",Asie-Pacifique
BLR,153,Bélarus,Belarus,Bielorrusia,روسيا البيضاء,روسیه سفید,"51,66",2,155,"52,59",EEAC
COD,154,RD Congo,The Democratic Republic Of The Congo,RD Congo,جمهورية الكونغو الديمقراطية,جمهوری دمکراتیک کنگو,"51,71",0,154,"51,6",Afrique
RWA,155,Rwanda,Rwanda,Ruanda,رواندا,روندا,"52,43",1,156,"52,9",Afrique
IRQ,156,Irak,Iraq,Irak,العراق,عراق,"52,6",4,160,"56,56",MENA
TUR,157,Turquie,Turkey,Turquía,تركيا,ترکیه,"52,81",0,157,"53,5",EEAC
KAZ,158,Kazakhstan,Kazakhstan,Kazajistàn,كازاخستان,قزاقستان,"52,82",0,158,"54,41",EEAC
BDI,159,Burundi,Burundi,Burundi,بوروندي,بروندی,"52,89",0,159,"55,26",Afrique
UZB,160,Ouzbékistan,Uzbekistan,Uzbekistàn,أوزبكستان,اوزبکستان,"53,52",5,165,"60,84",EEAC
TJK,161,Tadjikistan,Tajikistan,Tayikistàn,طاجيكستان,تاجیکستان,"54,02",-12,149,"50,06",EEAC
LBY,162,Libye,Libya,Libia,ليبيا,لیبی,"55,77",0,162,"56,79",MENA
EGY,163,Égypte,Egypt,Egipto,مصر,مصر,"56,47",-2,161,"56,72",MENA
SOM,164,Somalie,Somalia,Somalia,الصومال,سومالی,"57,24",4,168,"63,04",Afrique
GNQ,165,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,غينيا الاستوائية,گینه اکوادور,"58,35",6,171,"66,47",Afrique
AZE,166,Azerbaïdjan,Azerbaijan,Azerbaiyàn,أذربيجان,آذربایجان,"59,13",-3,163,"59,73",EEAC
BHR,167,Bahreïn,Bahrain,Baréin,البحرين,بحرین,"61,31",-1,166,"60,85",MENA
YEM,168,Yémen,Yemen,Yemen,اليمن,یمن,"61,66",-1,167,"62,23",MENA
CUB,169,Cuba,Cuba,Cuba,كوبا,کوبا,"63,81",3,172,"68,9",Amériques
IRN,170,Iran,Islamic Republic of Iran,Iràn,إيران,ایران,"64,41",-6,164,"60,71",MENA
LAO,171,Laos,Lao People's Democratic Republic,Laos,لاوس,لائوس,"64,49",-1,170,"66,41",Asie-Pacifique
SAU,172,Arabie saoudite,Saudi Arabia,Arabia Saudita,المملكة العربية السعودية,عربستان سعودی,"65,88",-3,169,"63,13",MENA
DJI,173,Djibouti,Djibouti,Yibuti,جيبوتي,جیبوتی,"71,36",0,173,"70,77",Afrique
SYR,174,Syrie,Syrian Arab Republic,Siria,سوريا,سوریه,"71,78",3,177,"79,22",MENA
SDN,175,Soudan,Sudan,Sudàn,السودان,سودان,"72,45",-1,174,"71,13",Afrique
VNM,176,Viêt Nam,Vietnam,Vietnam,فيتنام,ویتنام,"74,93",-1,175,"75,05",Asie-Pacifique
CHN,177,Chine,China,China,الصين,چین,"78,92",-1,176,"78,29",Asie-Pacifique
ERI,178,Érythrée,Eritrea,Eritrea,إريتريا,اریتره,"80,26",1,179,"84,24",Afrique
PRK,179,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,كوريا الشمالية,کره شمالی,"83,4",1,180,"88,87",Asie-Pacifique
TKM,180,Turkménistan,Turkmenistan,Turkmenistàn,تركمانستان,ترکمنستان,"85,44",-2,178,"84,2",EEAC
